No.,キャリー (yds),トータル (yds),ボールスピード (m/s),最高到達点 (yds),Club-type
1,117,124,41,23,9i
2,78,85,31,14,9i
3,72,78,29,16,9i
4,24,55,25,1,9i
5,12,54,31,0,9i
6,57,63,25,11,9i
7,88,109,36,9,9i
8,18,46,24,1,9i
9,84,112,38,6,9i
10,54,61,24,15,9i
11,23,47,23,1,9i
12,23,66,32,1,9i
13,94,96,35,22,9i
14,50,57,23,14,9i
15,100,105,37,20,9i
16,75,83,30,16,9i
17,95,98,36,26,9i
18,41,97,39,1,9i
19,87,96,33,14,9i
20,14,27,15,1,9i
21,79,81,31,20,9i
22,71,74,31,27,9i
23,108,112,39,23,9i
24,67,99,36,4,9i
25,78,108,37,5,9i
26,65,70,27,13,9i
27,100,116,38,12,9i
28,83,91,33,15,9i
29,95,101,35,26,9i
30,101,103,37,22,9i
31,63,77,30,9,9i
32,91,105,36,12,9i
33,93,97,35,21,9i
34,108,111,39,27,9i
35,100,106,36,20,9i
36,17,36,18,1,9i
37,38,73,31,2,9i
38,62,76,29,9,9i
39,103,105,38,28,9i
40,89,92,34,23,9i
41,105,113,38,19,9i
42,102,105,37,24,9i
43,45,49,22,15,9i
44,119,122,42,25,9i
45,47,53,22,9,9i
46,99,104,37,22,9i
47,30,40,18,5,9i
48,67,72,28,17,9i
49,95,106,36,14,9i
50,100,108,36,18,9i
51,78,86,31,13,9i
52,34,44,19,7,9i
53,43,50,21,12,9i
54,29,36,17,7,9i
55,62,72,27,10,9i
56,81,87,32,15,9i
57,52,59,24,9,9i
